AnalyzedText	Analysis	Sequence	TextDeformation	AnalysisRecord	ExemplarUrn
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.3@γλυκεροῦ[1]	urn:cite:hmt:tokentypes.lexical	20	γλυκεροῦ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_20.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.3.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.3@ταρπήμεναι[1]	urn:cite:hmt:tokentypes.lexical	21	ταρπήμεναι	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_21.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.3.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.3@·[1]	urn:cite:hmt:tokentypes.punctuation	22	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_22.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.3.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.3@αὐτὰρ[1]	urn:cite:hmt:tokentypes.lexical	23	αὐτὰρ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_23.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.3.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.3@Ἀχιλλεὺς[1]	urn:cite:hmt:pers.pers1	24	Ἀχιλλεὺς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_24.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.3.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@κλαῖε[1]	urn:cite:hmt:tokentypes.lexical	25	κλαῖε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_25.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@.[1]	urn:cite:hmt:tokentypes.punctuation	26	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_26.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@φίλου[1]	urn:cite:hmt:tokentypes.lexical	27	φίλου	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_27.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@ἑτάρου[1]	urn:cite:hmt:tokentypes.lexical	28	ἑτάρου	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_28.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@μεμνημένος[1]	urn:cite:hmt:tokentypes.lexical	29	μεμνημένος	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_29.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@·[1]	urn:cite:hmt:tokentypes.punctuation	30	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_30.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@οὐδέ[1]	urn:cite:hmt:tokentypes.lexical	31	οὐ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_31.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@οὐδέ[1]	urn:cite:hmt:tokentypes.lexical	32	δέ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_32.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@μιν[1]	urn:cite:hmt:tokentypes.lexical	33	μιν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_33.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.4@ὕπνος[1]	urn:cite:hmt:tokentypes.lexical	34	ὕπνος	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_34.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.4.9
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.5@ᾔρει[1]	urn:cite:hmt:tokentypes.lexical	35	ᾔρει	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_35.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.5.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.5@πανδαμάτωρ[1]	urn:cite:hmt:tokentypes.lexical	36	πανδαμάτωρ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_36.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.5.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.5@ἀλλ'[1]	urn:cite:hmt:tokentypes.lexical	37	ἀλλά	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_37.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.5.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.5@ἐστρέφετ'[1]	urn:cite:hmt:tokentypes.lexical	38	ἐστρέφετ'	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_38.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.5.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.5@ἔνθα[1]	urn:cite:hmt:tokentypes.lexical	39	ἔνθα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_39.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.5.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.5@καὶ[1]	urn:cite:hmt:tokentypes.lexical	40	καὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_40.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.5.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.5@ἔνθα[2]	urn:cite:hmt:tokentypes.lexical	41	ἔνθα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_41.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.5.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@Πατρόκλου[1]	urn:cite:hmt:pers.pers158	42	Πατρόκλου	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_42.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@ποθέων[1]	urn:cite:hmt:tokentypes.lexical	43	ποθέων	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_43.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@ἀνδροτῆτά[1]	urn:cite:hmt:tokentypes.lexical	44	ἀνδροτῆτά	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_44.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@τε[1]	urn:cite:hmt:tokentypes.lexical	45	τε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_45.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@καὶ[1]	urn:cite:hmt:tokentypes.lexical	46	καὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_46.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@μένος[1]	urn:cite:hmt:tokentypes.lexical	47	μένος	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_47.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@ἠΰ[1]	urn:cite:hmt:tokentypes.lexical	48	ἠΰ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_48.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.6@·[1]	urn:cite:hmt:tokentypes.punctuation	49	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_49.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.6.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@ἠδ'[1]	urn:cite:hmt:tokentypes.lexical	50	ἠδέ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_50.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@ὁπόσα[1]	urn:cite:hmt:tokentypes.lexical	51	ὁπόσα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_51.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@τολύπευσε[1]	urn:cite:hmt:tokentypes.lexical	52	τολύπευσε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_52.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@σὺν[1]	urn:cite:hmt:tokentypes.lexical	53	σὺν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_53.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@αὐτῷ[1]	urn:cite:hmt:tokentypes.lexical	54	αὐτῷ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_54.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@καὶ[1]	urn:cite:hmt:tokentypes.lexical	55	καὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_55.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@πάθεν[1]	urn:cite:hmt:tokentypes.lexical	56	πάθεν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_56.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.7@ἄλγεα[1]	urn:cite:hmt:tokentypes.lexical	57	ἄλγεα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_57.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.7.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@ἀνδρῶν[1]	urn:cite:hmt:tokentypes.lexical	58	ἀνδρῶν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_58.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@τὲ[1]	urn:cite:hmt:tokentypes.lexical	59	τὲ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_59.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@πτολέμους[1]	urn:cite:hmt:tokentypes.lexical	60	πτολέμους	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_60.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@.[1]	urn:cite:hmt:tokentypes.punctuation	61	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_61.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@ἀλεγεινά[1]	urn:cite:hmt:tokentypes.lexical	62	ἀλεγεινά	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_62.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@τε[1]	urn:cite:hmt:tokentypes.lexical	63	τε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_63.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@κύματα[1]	urn:cite:hmt:tokentypes.lexical	64	κύματα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_64.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@πείρων[1]	urn:cite:hmt:tokentypes.lexical	65	πείρων	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_65.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.8@.[2]	urn:cite:hmt:tokentypes.punctuation	66	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_66.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.8.9
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.9@τῶν[1]	urn:cite:hmt:tokentypes.lexical	67	τῶν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_67.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.9.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.9@μιμνησκόμενος[1]	urn:cite:hmt:tokentypes.lexical	68	μιμνησκόμενος	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_68.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.9.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.9@θαλερὸν[1]	urn:cite:hmt:tokentypes.lexical	69	θαλερὸν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_69.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.9.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.9@κατὰ[1]	urn:cite:hmt:tokentypes.lexical	70	κατὰ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_70.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.9.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.9@δάκρυον[1]	urn:cite:hmt:tokentypes.lexical	71	δάκρυον	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_71.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.9.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.9@εἶβεν[1]	urn:cite:hmt:tokentypes.lexical	72	εἶβεν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_72.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.9.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.9@.[1]	urn:cite:hmt:tokentypes.punctuation	73	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_73.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.9.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@ἄλλοτ'[1]	urn:cite:hmt:tokentypes.lexical	74	ἄλλοτε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_74.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@ἐπὶ[1]	urn:cite:hmt:tokentypes.lexical	75	ἐπὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_75.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@πλευρὰς[1]	urn:cite:hmt:tokentypes.lexical	76	πλευρὰς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_76.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@κατακείμενος[1]	urn:cite:hmt:tokentypes.lexical	77	κατακείμενος	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_77.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@.[1]	urn:cite:hmt:tokentypes.punctuation	78	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_78.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@ἄλλοτε[1]	urn:cite:hmt:tokentypes.lexical	79	ἄλλοτε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_79.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@δ'[1]	urn:cite:hmt:tokentypes.lexical	80	δέ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_80.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.10@αὖτε[1]	urn:cite:hmt:tokentypes.lexical	81	αὖτε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_81.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.10.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@ὕπτιος[1]	urn:cite:hmt:tokentypes.lexical	82	ὕπτιος	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_82.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@.[1]	urn:cite:hmt:tokentypes.punctuation	83	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_83.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@ἄλλοτε[1]	urn:cite:hmt:tokentypes.lexical	84	ἄλλοτε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_84.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@δὴ[1]	urn:cite:hmt:tokentypes.lexical	85	δὴ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_85.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@πρηνὴς[1]	urn:cite:hmt:tokentypes.lexical	86	πρηνὴς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_86.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@.[2]	urn:cite:hmt:tokentypes.punctuation	87	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_87.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@τότε[1]	urn:cite:hmt:tokentypes.lexical	88	τότε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_88.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@δ'[1]	urn:cite:hmt:tokentypes.lexical	89	δέ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_89.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@ὀρθὸς[1]	urn:cite:hmt:tokentypes.lexical	90	ὀρθὸς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_90.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.9
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.11@ἀναστὰς[1]	urn:cite:hmt:tokentypes.lexical	91	ἀναστὰς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_91.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.11.10
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@δινεύεσκ'[1]	urn:cite:hmt:tokentypes.lexical	92	δινεύεσκε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_92.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@ἀλύων[1]	urn:cite:hmt:tokentypes.lexical	93	ἀλύων	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_93.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@παρὰ[1]	urn:cite:hmt:tokentypes.lexical	94	παρὰ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_94.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@θῖν'[1]	urn:cite:hmt:tokentypes.lexical	95	θῖνα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_95.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@ἁλὸς[1]	urn:cite:hmt:tokentypes.lexical	96	ἁλὸς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_96.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@.[1]	urn:cite:hmt:tokentypes.punctuation	97	.	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_97.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@οὐδέ[1]	urn:cite:hmt:tokentypes.lexical	98	οὐ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_98.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@οὐδέ[1]	urn:cite:hmt:tokentypes.lexical	99	δέ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_99.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@μιν[1]	urn:cite:hmt:tokentypes.lexical	100	μιν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_100.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.12@ἠὼς[1]	urn:cite:hmt:tokentypes.lexical	101	ἠὼς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_101.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.12.9
